	firename	ii	jj	pixclass
0	boundary	148	225	fire
1	boundary	201	88	fire
2	boundary	193	187	fire
3	boundary	137	252	fire
4	boundary	165	211	fire
5	boundary	219	95	fire
6	boundary	183	105	fire
7	boundary	188	184	fire
8	boundary	148	227	fire
9	boundary	204	164	fire
10	boundary	164	206	fire
11	boundary	181	178	fire
12	boundary	181	179	fire
13	boundary	174	207	fire
14	boundary	184	186	fire
15	boundary	165	205	fire
16	boundary	206	188	fire
17	boundary	202	163	fire
18	boundary	215	133	fire
19	boundary	192	105	fire
20	boundary	168	206	fire
21	boundary	213	86	fire
22	boundary	199	65	fire
23	boundary	199	165	fire
24	boundary	191	180	fire
25	boundary	223	193	fire
26	boundary	213	178	fire
27	boundary	182	97	fire
28	boundary	167	205	fire
29	boundary	118	216	fire
30	boundary	193	78	fire
31	boundary	216	136	fire
32	boundary	171	205	fire
33	boundary	167	206	fire
34	boundary	194	91	fire
35	boundary	174	203	fire
36	boundary	192	108	fire
37	boundary	152	228	fire
38	boundary	200	165	fire
39	boundary	151	233	fire
40	boundary	218	94	fire
41	boundary	185	184	fire
42	boundary	208	184	fire
43	boundary	197	49	fire
44	boundary	196	165	fire
45	boundary	184	94	fire
46	boundary	155	232	fire
47	boundary	180	179	fire
48	boundary	174	205	fire
49	boundary	137	253	fire
50	boundary	117	216	fire
51	boundary	207	85	fire
52	boundary	37	164	fire
53	boundary	195	91	fire
54	boundary	199	93	fire
55	boundary	213	138	fire
56	boundary	188	183	fire
57	boundary	185	85	fire
58	boundary	178	213	fire
59	boundary	212	137	fire
60	boundary	146	232	fire
61	boundary	153	233	fire
62	boundary	210	164	fire
63	boundary	199	92	fire
64	boundary	184	93	fire
65	boundary	195	47	fire
66	boundary	192	188	fire
67	boundary	160	181	fire
68	boundary	175	205	fire
69	boundary	209	185	fire
70	boundary	190	181	fire
71	boundary	219	196	fire
72	boundary	202	90	fire
73	boundary	214	183	fire
74	boundary	211	138	fire
75	boundary	216	185	fire
76	boundary	149	227	fire
77	boundary	151	232	fire
78	boundary	208	185	fire
79	boundary	165	212	fire
80	boundary	188	180	fire
81	boundary	194	134	fire
82	boundary	219	197	fire
83	boundary	208	187	fire
84	boundary	196	47	fire
85	boundary	226	95	fire
86	boundary	161	183	fire
87	boundary	215	128	fire
88	boundary	206	165	fire
89	boundary	183	73	fire
90	boundary	195	92	fire
91	boundary	174	142	fire
92	boundary	196	48	fire
93	boundary	226	181	fire
94	boundary	171	204	fire
95	boundary	212	85	fire
96	boundary	154	230	fire
97	boundary	195	48	fire
98	boundary	193	80	fire
99	boundary	238	140	fire
100	boundary	173	140	background
101	boundary	144	68	background
102	boundary	176	78	background
103	boundary	204	273	background
104	boundary	130	80	background
105	boundary	210	94	background
106	boundary	150	98	background
107	boundary	186	119	background
108	boundary	116	140	background
109	boundary	26	161	background
110	boundary	123	70	background
111	boundary	27	184	background
112	boundary	105	216	background
113	boundary	205	103	background
114	boundary	124	247	background
115	boundary	172	224	background
116	boundary	174	43	background
117	boundary	156	58	background
118	boundary	98	160	background
119	boundary	73	91	background
120	boundary	132	247	background
121	boundary	184	110	background
122	boundary	210	188	background
123	boundary	142	71	background
124	boundary	127	181	background
125	boundary	156	150	background
126	boundary	124	216	background
127	boundary	142	50	background
128	boundary	221	176	background
129	boundary	212	218	background
130	boundary	62	195	background
131	boundary	185	46	background
132	boundary	226	216	background
133	boundary	155	279	background
134	boundary	183	38	background
135	boundary	235	78	background
136	boundary	219	209	background
137	boundary	178	287	background
138	boundary	194	223	background
139	boundary	149	115	background
140	boundary	136	231	background
141	boundary	68	206	background
142	boundary	234	102	background
143	boundary	178	126	background
144	boundary	137	128	background
145	boundary	148	220	background
146	boundary	162	200	background
147	boundary	214	261	background
148	boundary	216	44	background
149	boundary	123	240	background
150	boundary	107	159	background
151	boundary	235	176	background
152	boundary	162	46	background
153	boundary	214	207	background
154	boundary	220	219	background
155	boundary	204	158	background
156	boundary	78	138	background
157	boundary	166	61	background
158	boundary	212	197	background
159	boundary	130	96	background
160	boundary	177	111	background
161	boundary	177	208	background
162	boundary	195	28	background
163	boundary	134	191	background
164	boundary	231	90	background
